t_s,orch_kv_pct,orch_running,orch_waiting,orch_queue_time_cum_s,orch_requests_done_cum,orch_preemptions_cum,worker_kv_pct,worker_running,worker_waiting,worker_queue_time_cum_s,worker_requests_done_cum,client_arrivals_cum,client_completions_cum,client_in_flight
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
4,6.026,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
5,22.392,70.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
6,36.793,101.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
7,30.454,68.0,0.0,0.004,40.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
8,27.502,64.0,0.0,0.008,76.0,0.0,0.0,0.0,0.0,0.0,0.0,106,6,100
9,44.21,121.0,0.0,0.008,78.0,0.0,0.0,0.0,0.0,0.0,0.0,109,9,100
10,50.71,122.0,0.0,0.008,79.0,0.0,0.0,0.0,0.0,0.0,0.0,110,10,100
11,49.773,111.0,0.0,0.01,100.0,0.0,0.419,1.0,0.0,0.0,0.0,110,10,100
12,49.773,111.0,0.0,0.01,100.0,0.0,0.419,1.0,0.0,0.0,0.0,110,10,100
13,58.087,146.0,0.0,0.011,109.0,0.0,0.428,1.0,0.0,0.0,1.0,111,11,100
14,63.045,143.0,0.0,0.011,113.0,0.0,0.542,4.0,0.0,0.0,2.0,112,12,100
15,61.907,125.0,0.0,0.011,132.0,0.0,0.591,4.0,18.0,0.0,3.0,112,12,100
16,68.407,125.0,0.0,0.011,133.0,0.0,0.656,4.0,19.0,0.0,3.0,112,12,100
17,72.911,126.0,0.0,0.011,135.0,0.0,0.483,4.0,18.0,0.952,7.0,112,12,100
18,83.14,127.0,0.0,0.011,135.0,0.0,0.533,4.0,17.0,3.633,8.0,113,13,100
19,84.47,123.0,0.0,0.011,140.0,0.0,0.601,4.0,18.0,3.633,8.0,113,13,100
20,88.471,118.0,1.0,0.011,146.0,0.0,0.508,4.0,16.0,12.624,11.0,113,13,100
21,88.471,118.0,1.0,0.011,146.0,0.0,0.508,4.0,16.0,12.624,11.0,113,13,100
22,89.922,114.0,3.0,0.011,151.0,0.0,0.588,4.0,18.0,12.624,11.0,113,13,100
23,87.181,103.0,9.0,0.012,162.0,1.0,0.629,4.0,18.0,18.748,12.0,113,13,100
24,83.846,91.0,13.0,0.012,176.0,1.0,0.532,4.0,16.0,34.864,15.0,113,13,100
25,89.449,85.0,19.0,0.013,184.0,1.0,0.542,4.0,17.0,41.041,16.0,113,13,100
26,81.377,70.0,21.0,0.014,200.0,1.0,0.56,4.0,16.0,59.018,18.0,113,13,100
27,94.326,66.0,20.0,0.014,206.0,1.0,0.502,4.0,15.0,86.904,21.0,113,13,100
28,92.996,47.0,20.0,0.016,230.0,1.0,0.567,4.0,16.0,86.904,21.0,113,13,100
29,86.869,41.0,21.0,0.016,238.0,1.0,0.553,4.0,14.0,123.329,24.0,113,13,100
30,86.869,41.0,21.0,0.016,238.0,1.0,0.553,4.0,14.0,123.329,24.0,113,13,100
31,85.387,35.0,21.0,0.016,246.0,1.0,0.605,4.0,14.0,135.824,25.0,113,13,100
32,90.215,32.0,21.0,0.017,251.0,1.0,0.604,4.0,12.0,175.126,28.0,113,13,100
33,92.593,29.0,18.0,0.105,258.0,1.0,0.62,4.0,10.0,195.912,30.0,113,13,100
34,89.459,23.0,16.0,12.174,266.0,1.0,0.668,4.0,9.0,206.149,31.0,113,13,100
35,97.743,23.0,14.0,14.079,268.0,1.0,0.679,4.0,10.0,228.114,33.0,113,13,100
36,96.06,22.0,16.0,21.999,271.0,1.0,0.533,4.0,6.0,271.931,37.0,113,13,100
37,95.455,21.0,16.0,36.726,274.0,1.0,0.58,4.0,8.0,280.703,38.0,113,13,100
38,90.618,22.0,18.0,41.092,275.0,1.0,0.681,4.0,14.0,308.003,41.0,113,13,100
39,90.618,22.0,18.0,41.092,275.0,1.0,0.681,4.0,14.0,308.003,41.0,113,13,100
40,99.627,21.0,24.0,55.941,277.0,1.0,0.751,4.0,16.0,308.003,41.0,113,13,100
41,99.083,21.0,32.0,69.746,279.0,1.0,0.821,4.0,18.0,316.031,42.0,113,13,100
42,98.529,23.0,36.0,89.126,282.0,1.0,0.795,4.0,17.0,323.35,43.0,113,13,100
43,84.178,21.0,36.0,112.425,285.0,1.0,0.859,4.0,17.0,323.35,43.0,113,13,100
44,87.887,22.0,34.0,125.708,287.0,1.0,0.99,4.0,15.0,336.326,45.0,113,13,100
45,99.809,22.0,36.0,150.693,290.0,1.0,1.021,4.0,19.0,339.733,46.0,113,13,100
46,98.186,23.0,35.0,163.013,293.0,1.0,1.083,4.0,23.0,339.733,46.0,113,13,100
47,99.305,22.0,44.0,182.39,296.0,1.0,1.15,4.0,24.0,339.733,46.0,113,13,100
48,99.305,22.0,44.0,182.39,296.0,1.0,1.15,4.0,24.0,339.733,46.0,113,13,100
49,85.811,21.0,58.0,194.532,298.0,1.0,1.139,4.0,24.0,346.116,47.0,113,13,100
50,97.722,22.0,59.0,200.783,299.0,1.0,1.204,4.0,26.0,346.116,47.0,113,13,100
51,91.101,22.0,61.0,216.2,301.0,1.0,1.267,4.0,26.0,346.116,47.0,114,14,100
52,96.201,21.0,62.0,241.462,305.0,1.0,1.184,4.0,27.0,353.346,48.0,114,14,100
53,91.101,22.0,67.0,241.462,305.0,1.0,1.147,4.0,26.0,364.467,49.0,114,14,100
54,96.08,21.0,69.0,263.709,308.0,1.0,1.034,4.0,25.0,384.683,51.0,114,14,100
55,97.43,20.0,70.0,302.077,312.0,1.0,0.988,4.0,27.0,413.177,53.0,114,14,100
56,97.43,20.0,70.0,302.077,312.0,1.0,0.988,4.0,27.0,413.177,53.0,114,14,100
57,99.486,22.0,68.0,302.077,312.0,1.0,1.05,4.0,28.0,413.177,53.0,114,14,100
58,92.795,22.0,70.0,302.077,312.0,1.0,0.987,3.0,28.0,428.554,54.0,114,14,100
59,95.485,24.0,69.0,311.801,313.0,1.0,1.177,4.0,26.0,461.062,56.0,114,14,100
60,97.803,25.0,67.0,319.288,314.0,1.0,1.241,4.0,26.0,461.062,56.0,114,14,100
61,97.773,23.0,66.0,351.838,317.0,1.0,1.304,4.0,27.0,461.062,56.0,114,14,100
62,98.982,25.0,64.0,351.838,317.0,1.0,1.485,4.0,27.0,480.13,57.0,114,14,100
63,95.898,24.0,62.0,392.571,320.0,1.0,1.433,4.0,27.0,499.708,58.0,114,14,100
64,98.74,24.0,62.0,398.875,321.0,1.0,1.497,4.0,28.0,499.708,58.0,114,14,100
65,98.74,24.0,62.0,398.875,321.0,1.0,1.497,4.0,28.0,499.708,58.0,115,15,100
66,96.624,23.0,61.0,427.812,323.0,1.0,1.433,4.0,28.0,519.058,59.0,115,15,100
67,97.622,22.0,60.0,460.21,326.0,1.0,1.499,4.0,30.0,519.058,59.0,115,15,100
68,96.473,23.0,58.0,477.19,327.0,1.0,1.212,4.0,28.0,548.991,61.0,116,16,100
69,91.454,23.0,58.0,491.373,328.0,1.0,1.278,4.0,29.0,548.991,61.0,116,16,100
70,98.811,24.0,55.0,508.966,330.0,1.0,1.344,4.0,30.0,548.991,61.0,116,16,100
71,90.245,23.0,56.0,516.69,331.0,1.0,1.057,4.0,28.0,594.896,63.0,118,18,100
72,92.462,22.0,56.0,547.937,333.0,1.0,1.124,4.0,29.0,594.896,63.0,118,18,100
73,98.881,23.0,55.0,547.937,333.0,1.0,1.181,4.0,29.0,648.311,65.0,118,18,100
74,98.881,23.0,55.0,547.937,333.0,1.0,1.181,4.0,29.0,648.311,65.0,118,18,100
75,89.62,20.0,54.0,604.139,337.0,1.0,1.249,4.0,31.0,648.311,65.0,118,18,100
76,88.582,21.0,53.0,604.139,337.0,1.0,1.318,4.0,31.0,648.311,65.0,119,19,100
77,99.184,22.0,52.0,604.139,337.0,1.0,1.726,4.0,30.0,675.547,66.0,120,20,100
78,96.946,23.0,51.0,604.139,337.0,1.0,1.775,4.0,29.0,703.1,67.0,120,20,100
79,97.329,23.0,52.0,620.809,338.0,1.0,1.842,4.0,29.0,703.1,67.0,120,20,100
80,96.695,23.0,51.0,638.841,339.0,1.0,1.907,4.0,29.0,703.1,67.0,120,20,100
81,98.66,22.0,50.0,662.661,341.0,1.0,1.773,4.0,29.0,734.756,68.0,121,21,100
82,98.115,23.0,49.0,662.661,341.0,1.0,1.728,4.0,28.0,765.032,69.0,122,22,100
83,98.115,23.0,49.0,662.661,341.0,1.0,1.728,4.0,28.0,765.032,69.0,122,22,100
84,95.586,21.0,49.0,744.856,345.0,1.0,1.795,4.0,28.0,765.032,69.0,122,22,100
85,95.344,22.0,48.0,744.856,345.0,1.0,1.86,4.0,28.0,765.032,69.0,122,22,100
86,98.781,23.0,47.0,744.856,345.0,1.0,1.923,4.0,28.0,765.032,69.0,122,22,100
87,99.97,22.0,46.0,787.489,347.0,1.0,2.262,4.0,27.0,800.276,70.0,122,22,100
88,93.752,23.0,45.0,787.489,347.0,1.0,1.595,4.0,25.0,861.062,72.0,122,22,100
89,85.398,21.0,47.0,814.491,349.0,1.0,1.656,4.0,26.0,861.062,72.0,124,24,100
90,99.446,21.0,46.0,852.898,350.0,1.0,1.28,3.0,27.0,900.229,73.0,124,24,100
91,98.398,22.0,45.0,852.898,350.0,1.0,1.438,4.0,26.0,900.229,73.0,125,25,100
92,98.398,22.0,45.0,852.898,350.0,1.0,1.438,4.0,26.0,900.229,73.0,126,26,100
93,93.843,21.0,45.0,923.485,353.0,1.0,1.398,4.0,27.0,939.142,74.0,127,27,100
