t_s,orch_kv_pct,orch_running,orch_waiting,orch_queue_time_cum_s,orch_requests_done_cum,orch_preemptions_cum,worker_kv_pct,worker_running,worker_waiting,worker_queue_time_cum_s,worker_requests_done_cum,client_arrivals_cum,client_completions_cum,client_in_flight
0,10.078,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,17.807,20.0,0.0,0.001,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,19.198,19.0,0.0,0.001,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,23.239,27.0,0.0,0.002,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,17.999,21.0,0.0,0.002,28.0,0.0,0.487,4.0,2.0,0.0,0.0,0,0,0
5,20.226,21.0,0.0,0.002,28.0,0.0,0.53,4.0,2.0,0.0,1.0,0,0,0
6,17.686,14.0,0.0,0.002,35.0,0.0,0.515,4.0,7.0,0.235,5.0,0,0,0
7,8.223,5.0,0.0,0.002,44.0,0.0,0.581,4.0,16.0,4.99,11.0,0,0,0
8,12.668,2.0,0.0,0.002,48.0,0.0,0.581,4.0,16.0,4.99,11.0,0,0,0
9,12.668,2.0,0.0,0.002,48.0,0.0,0.616,4.0,13.0,15.36,19.0,0,0,0
10,31.593,5.0,0.0,0.002,48.0,0.0,0.657,4.0,9.0,23.433,23.0,0,0,0
11,49.622,11.0,0.0,0.002,48.0,0.0,0.75,4.0,7.0,28.595,25.0,0,0,0
12,62.602,15.0,0.0,0.002,48.0,0.0,0.684,4.0,5.0,31.162,27.0,0,0,0
13,64.164,17.0,0.0,0.003,49.0,0.0,0.686,4.0,3.0,43.052,30.0,0,0,0
14,75.693,18.0,0.0,0.003,50.0,0.0,0.729,4.0,0.0,58.985,33.0,0,0,0
15,78.908,21.0,0.0,0.003,51.0,0.0,0.535,2.0,0.0,71.776,36.0,0,0,0
16,51.89,13.0,0.0,0.003,61.0,0.0,0.795,3.0,0.0,72.878,38.0,0,0,0
17,55.024,13.0,0.0,0.003,62.0,0.0,0.975,4.0,1.0,72.878,39.0,0,0,0
18,55.024,13.0,0.0,0.003,62.0,0.0,0.975,4.0,1.0,72.878,39.0,0,0,0
19,66.17,14.0,0.0,0.003,62.0,0.0,1.044,4.0,0.0,72.878,40.0,0,0,0
20,53.351,14.0,0.0,0.003,63.0,0.0,1.094,4.0,1.0,72.878,41.0,0,0,0
21,53.673,11.0,0.0,0.003,67.0,0.0,1.127,4.0,3.0,73.181,42.0,0,0,0
22,48.493,12.0,0.0,0.003,67.0,0.0,1.077,4.0,3.0,73.181,43.0,0,0,0
23,34.556,10.0,0.0,0.003,71.0,0.0,1.109,4.0,3.0,74.529,44.0,0,0,0
24,30.072,8.0,0.0,0.003,73.0,0.0,1.174,4.0,6.0,74.529,44.0,0,0,0
25,26.242,8.0,0.0,0.003,76.0,0.0,0.897,4.0,6.0,75.136,45.0,0,0,0
26,20.014,8.0,0.0,0.003,78.0,0.0,0.969,4.0,8.0,75.136,45.0,0,0,0
27,20.014,8.0,0.0,0.003,78.0,0.0,0.969,4.0,8.0,75.136,45.0,0,0,0
28,15.046,6.0,0.0,0.003,81.0,0.0,1.036,4.0,10.0,75.136,45.0,0,0,0
29,16.295,8.0,0.0,0.003,82.0,0.0,0.896,4.0,8.0,78.712,47.0,0,0,0
30,11.337,6.0,0.0,0.003,85.0,0.0,0.968,4.0,11.0,78.712,47.0,0,0,0
31,7.85,6.0,0.0,0.003,89.0,0.0,0.783,4.0,13.0,82.35,48.0,0,0,0
32,5.25,3.0,0.0,0.004,95.0,0.0,0.754,4.0,13.0,94.366,50.0,0,0,0
33,5.301,3.0,0.0,0.004,98.0,0.0,0.82,4.0,17.0,94.366,50.0,0,0,0
34,5.704,3.0,0.0,0.004,99.0,0.0,1.243,4.0,16.0,102.031,51.0,0,0,0
35,11.559,6.0,0.0,0.004,99.0,0.0,1.243,4.0,16.0,102.031,51.0,0,0,0
36,11.559,6.0,0.0,0.004,99.0,0.0,1.289,4.0,15.0,109.78,52.0,0,0,0
37,5.936,3.0,0.0,0.004,102.0,0.0,1.355,4.0,17.0,109.78,52.0,0,0,0
38,10.148,4.0,0.0,0.004,103.0,0.0,0.97,4.0,17.0,118.681,53.0,0,0,0
39,5.089,3.0,0.0,0.004,107.0,0.0,1.038,4.0,19.0,118.681,53.0,0,0,0
40,10.068,4.0,0.0,0.004,107.0,0.0,1.298,4.0,18.0,126.803,54.0,0,0,0
41,6.53,4.0,0.0,0.004,108.0,0.0,1.367,4.0,18.0,126.803,54.0,0,0,0
42,4.444,1.0,0.0,0.004,111.0,0.0,1.431,4.0,21.0,126.803,54.0,0,0,0
43,4.464,1.0,0.0,0.004,111.0,0.0,1.093,4.0,21.0,138.594,55.0,0,0,0
44,4.464,1.0,0.0,0.004,111.0,0.0,1.093,4.0,21.0,138.594,55.0,0,0,0
45,0.0,0.0,0.0,0.004,113.0,0.0,1.01,3.0,20.0,179.179,58.0,0,0,0
46,30.394,5.0,0.0,0.004,113.0,0.0,1.257,4.0,18.0,194.314,59.0,0,0,0
47,13.857,4.0,0.0,0.004,115.0,0.0,1.327,4.0,18.0,194.314,59.0,0,0,0
48,10.239,4.0,0.0,0.004,116.0,0.0,1.222,4.0,18.0,209.354,60.0,0,0,0
49,11.277,5.0,0.0,0.004,118.0,0.0,0.99,4.0,14.0,261.195,64.0,0,0,0
50,30.727,8.0,0.0,0.004,119.0,0.0,1.038,4.0,12.0,311.198,67.0,0,0,0
51,50.6,12.0,0.0,0.004,119.0,0.0,0.621,4.0,8.0,390.642,72.0,0,0,0
52,57.906,13.0,0.0,0.004,120.0,0.0,1.029,3.0,4.0,458.965,78.0,0,0,0
53,57.906,13.0,0.0,0.004,120.0,0.0,1.029,3.0,4.0,458.965,78.0,0,0,0
54,76.449,16.0,0.0,0.004,120.0,0.0,1.237,4.0,2.0,470.105,80.0,0,0,0
55,72.287,17.0,0.0,0.004,120.0,0.0,1.3,4.0,2.0,470.105,80.0,0,0,0
56,93.792,20.0,0.0,0.004,120.0,0.0,1.394,4.0,1.0,485.793,83.0,0,0,0
57,93.581,22.0,0.0,0.004,120.0,0.0,1.257,4.0,0.0,493.742,85.0,0,0,0
58,79.663,20.0,0.0,0.004,123.0,0.0,1.32,4.0,1.0,493.742,85.0,0,0,0
59,72.861,19.0,0.0,0.004,126.0,0.0,2.045,4.0,0.0,495.165,88.0,0,0,0
60,72.71,18.0,0.0,0.004,129.0,0.0,2.105,4.0,0.0,495.165,88.0,0,0,0
61,62.29,16.0,0.0,0.004,133.0,0.0,2.037,4.0,1.0,495.419,89.0,0,0,0
62,62.29,16.0,0.0,0.004,133.0,0.0,2.037,4.0,1.0,495.419,89.0,0,0,0
63,49.602,15.0,0.0,0.004,136.0,0.0,2.169,4.0,2.0,495.419,90.0,0,0,0
64,46.085,14.0,0.0,0.004,137.0,0.0,2.218,4.0,2.0,496.269,91.0,0,0,0
65,32.389,8.0,0.0,0.004,143.0,0.0,2.28,4.0,6.0,496.269,91.0,0,0,0
66,46.871,9.0,0.0,0.004,143.0,0.0,2.343,4.0,7.0,496.269,91.0,0,0,0
67,37.368,9.0,0.0,0.004,144.0,0.0,1.904,4.0,6.0,496.578,92.0,0,0,0
68,22.332,5.0,0.0,0.004,148.0,0.0,1.971,4.0,8.0,496.578,92.0,0,0,0
69,10.027,4.0,0.0,0.005,151.0,0.0,2.037,4.0,9.0,496.578,92.0,0,0,0
70,10.027,4.0,0.0,0.005,151.0,0.0,2.037,4.0,9.0,496.578,92.0,0,0,0
71,9.584,3.0,0.0,0.005,152.0,0.0,2.099,4.0,11.0,496.578,92.0,0,0,0
72,14.29,4.0,0.0,0.005,152.0,0.0,2.162,4.0,11.0,496.578,92.0,0,0,0
73,14.582,5.0,0.0,0.005,153.0,0.0,1.719,4.0,10.0,496.977,93.0,0,0,0
74,5.523,3.0,0.0,0.005,155.0,0.0,1.785,4.0,11.0,496.977,93.0,0,0,0
75,10.33,4.0,0.0,0.005,155.0,0.0,1.743,4.0,10.0,498.806,94.0,0,0,0
76,5.875,3.0,0.0,0.005,156.0,0.0,1.806,4.0,10.0,498.806,94.0,0,0,0
77,6.591,4.0,0.0,0.005,156.0,0.0,1.876,4.0,10.0,498.806,94.0,0,0,0
78,9.604,3.0,0.0,0.005,158.0,0.0,2.084,4.0,11.0,508.186,95.0,0,0,0
79,9.604,3.0,0.0,0.005,158.0,0.0,2.084,4.0,11.0,508.186,95.0,0,0,0
80,5.724,3.0,0.0,0.005,159.0,0.0,2.148,4.0,11.0,508.186,95.0,0,0,0
81,5.029,2.0,0.0,0.005,160.0,0.0,2.212,4.0,11.0,508.186,95.0,0,0,0
82,5.089,2.0,0.0,0.005,160.0,0.0,1.845,4.0,13.0,520.858,96.0,0,0,0
83,17.394,3.0,0.0,0.005,160.0,0.0,1.688,3.0,11.0,563.653,99.0,0,0,0
84,27.109,5.0,0.0,0.005,160.0,0.0,1.909,4.0,10.0,563.653,99.0,0,0,0
85,18.623,5.0,0.0,0.005,160.0,0.0,1.977,4.0,10.0,563.653,99.0,0,0,0
86,9.816,4.0,0.0,0.005,163.0,0.0,2.043,4.0,11.0,563.653,99.0,0,0,0
87,9.412,3.0,0.0,0.005,164.0,0.0,1.871,4.0,11.0,595.147,101.0,0,0,0
88,9.412,3.0,0.0,0.005,164.0,0.0,1.871,4.0,11.0,595.147,101.0,0,0,0
89,14.008,5.0,0.0,0.005,165.0,0.0,1.399,4.0,10.0,618.362,103.0,0,0,0
90,26.665,6.0,0.0,0.005,166.0,0.0,2.059,4.0,9.0,636.476,104.0,0,0,0
91,11.186,5.0,0.0,0.005,172.0,0.0,2.124,4.0,12.0,636.476,104.0,0,0,0
92,14.905,6.0,0.0,0.005,174.0,0.0,1.368,4.0,11.0,684.325,107.0,0,0,0
93,26.887,6.0,0.0,0.005,176.0,0.0,2.468,4.0,10.0,709.311,109.0,0,0,0
94,26.635,8.0,0.0,0.005,176.0,0.0,2.34,4.0,9.0,727.513,110.0,0,0,0
95,20.085,7.0,0.0,0.005,182.0,0.0,2.299,4.0,9.0,754.474,113.0,0,0,0
96,23.884,8.0,0.0,0.005,185.0,0.0,2.299,4.0,9.0,754.474,113.0,0,0,0
97,23.884,8.0,0.0,0.005,185.0,0.0,2.363,4.0,11.0,754.474,113.0,0,0,0
98,23.178,9.0,0.0,0.005,186.0,0.0,2.887,4.0,8.0,787.673,117.0,0,0,0
99,30.666,9.0,0.0,0.005,189.0,0.0,2.382,4.0,8.0,794.748,118.0,0,0,0
100,31.815,10.0,0.0,0.005,189.0,0.0,2.483,4.0,7.0,808.674,120.0,0,0,0
101,42.951,13.0,0.0,0.005,190.0,0.0,2.503,4.0,5.0,821.121,122.0,0,0,0
102,39.151,14.0,0.0,0.005,190.0,0.0,2.568,4.0,5.0,821.121,122.0,0,0,0
103,33.508,13.0,0.0,0.005,192.0,0.0,2.632,4.0,6.0,821.121,122.0,0,0,0
104,31.301,11.0,0.0,0.005,194.0,0.0,2.774,4.0,6.0,826.613,123.0,0,0,0
105,31.301,11.0,0.0,0.005,194.0,0.0,2.774,4.0,6.0,826.613,123.0,0,0,0
106,25.96,11.0,0.0,0.005,197.0,0.0,2.69,4.0,7.0,831.792,124.0,0,0,0
107,22.775,11.0,0.0,0.005,198.0,0.0,1.952,4.0,5.0,846.973,126.0,0,0,0
108,35.624,12.0,0.0,0.005,200.0,0.0,2.242,4.0,3.0,871.576,129.0,0,0,0
109,39.131,16.0,0.0,0.005,200.0,0.0,2.309,4.0,3.0,871.576,129.0,0,0,0
110,28.489,15.0,0.0,0.005,202.0,0.0,2.375,4.0,4.0,871.576,129.0,0,0,0
111,25.587,13.0,0.0,0.005,206.0,0.0,2.409,4.0,6.0,875.479,130.0,0,0,0
112,26.413,14.0,0.0,0.005,206.0,0.0,2.47,4.0,5.0,882.752,131.0,0,0,0
113,26.786,14.0,0.0,0.006,207.0,0.0,2.47,4.0,5.0,882.752,131.0,0,0,0
114,26.786,14.0,0.0,0.006,207.0,0.0,2.472,4.0,5.0,888.261,132.0,0,0,0
115,27.985,15.0,0.0,0.006,211.0,0.0,2.917,4.0,7.0,894.251,133.0,0,0,0
116,22.261,12.0,0.0,0.006,215.0,0.0,2.981,4.0,10.0,894.251,133.0,0,0,0
117,16.84,11.0,0.0,0.006,217.0,0.0,3.045,4.0,12.0,894.251,133.0,0,0,0
118,8.717,9.0,0.0,0.006,219.0,0.0,3.108,4.0,12.0,894.251,133.0,0,0,0
119,9.372,9.0,0.0,0.006,219.0,0.0,2.729,4.0,11.0,899.123,134.0,0,0,0
120,12.133,7.0,0.0,0.006,222.0,0.0,2.798,4.0,12.0,916.935,136.0,0,0,0
121,21.254,8.0,0.0,0.006,223.0,0.0,2.86,4.0,12.0,916.935,136.0,0,0,0
122,14.088,6.0,0.0,0.006,226.0,0.0,2.86,4.0,12.0,916.935,136.0,0,0,0
123,14.088,6.0,0.0,0.006,226.0,0.0,2.874,4.0,14.0,925.994,137.0,0,0,0
124,14.441,6.0,0.0,0.006,227.0,0.0,2.938,4.0,14.0,925.994,137.0,0,0,0
125,14.633,6.0,0.0,0.006,227.0,0.0,3.002,4.0,14.0,925.994,137.0,0,0,0
126,6.047,3.0,0.0,0.006,231.0,0.0,3.002,4.0,14.0,946.347,139.0,0,0,0
127,16.799,3.0,0.0,0.006,232.0,0.0,3.058,4.0,15.0,980.139,142.0,0,0,0
128,25.174,4.0,0.0,0.006,233.0,0.0,3.092,4.0,15.0,991.857,143.0,0,0,0
129,16.87,4.0,0.0,0.006,233.0,0.0,3.156,4.0,15.0,991.857,143.0,0,0,0
130,30.918,5.0,0.0,0.006,233.0,0.0,3.314,4.0,15.0,1003.891,144.0,0,0,0
131,25.768,6.0,0.0,0.006,233.0,0.0,3.314,4.0,15.0,1003.891,144.0,0,0,0
132,25.768,6.0,0.0,0.006,233.0,0.0,3.378,4.0,15.0,1003.891,144.0,0,0,0
133,25.758,6.0,0.0,0.006,233.0,0.0,1.912,4.0,14.0,1012.438,145.0,0,0,0
134,22.171,6.0,0.0,0.006,234.0,0.0,1.972,4.0,13.0,1027.975,146.0,0,0,0
135,17.978,7.0,0.0,0.006,237.0,0.0,2.014,4.0,14.0,1063.242,149.0,0,0,0
136,34.748,8.0,0.0,0.006,237.0,0.0,1.362,4.0,10.0,1116.816,153.0,0,0,0
137,53.724,11.0,1.0,0.006,237.0,0.0,1.745,4.0,9.0,1127.241,154.0,0,0,0
138,51.557,12.0,0.0,0.006,237.0,0.0,2.04,4.0,8.0,1141.151,155.0,0,0,0
139,70.684,15.0,0.0,0.006,237.0,0.0,2.104,4.0,8.0,1141.151,155.0,0,0,0
140,70.684,15.0,0.0,0.006,237.0,0.0,2.104,4.0,8.0,1141.151,155.0,0,0,0
141,52.776,16.0,0.0,0.006,237.0,0.0,2.097,4.0,6.0,1164.871,157.0,0,0,0
