t_s,orch_kv_pct,orch_running,orch_waiting,orch_queue_time_cum_s,orch_requests_done_cum,orch_preemptions_cum,worker_kv_pct,worker_running,worker_waiting,worker_queue_time_cum_s,worker_requests_done_cum,client_arrivals_cum,client_completions_cum,client_in_flight
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
2,21.687,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
3,21.687,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
4,32.561,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
5,32.611,51.0,0.0,0.012,51.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
6,22.624,46.0,0.0,0.016,72.0,0.0,0.0,0.0,0.0,0.0,0.0,107,7,100
7,40.24,118.0,0.0,0.017,74.0,0.0,0.0,0.0,0.0,0.0,0.0,109,9,100
8,46.548,121.0,0.0,0.018,77.0,0.0,0.0,0.0,0.0,0.0,0.0,110,10,100
9,51.789,123.0,0.0,0.018,86.0,0.0,0.0,0.0,0.0,0.0,0.0,110,10,100
10,53.331,130.0,0.0,0.023,107.0,0.0,0.0,0.0,0.0,0.0,0.0,110,10,100
11,62.562,147.0,0.0,0.023,109.0,0.0,0.0,0.0,0.0,0.0,0.0,111,11,100
12,62.562,147.0,0.0,0.023,109.0,0.0,0.418,1.0,0.0,0.0,0.0,111,11,100
13,64.305,133.0,0.0,0.023,123.0,0.0,0.501,4.0,10.0,0.0,0.0,112,12,100
14,65.847,124.0,0.0,0.024,134.0,0.0,0.549,4.0,19.0,0.0,1.0,112,12,100
15,73.697,126.0,0.0,0.024,134.0,0.0,0.519,4.0,19.0,0.612,4.0,112,12,100
16,74.181,124.0,0.0,0.024,136.0,0.0,0.53,4.0,20.0,0.612,5.0,112,12,100
17,80.963,125.0,0.0,0.024,136.0,0.0,0.58,4.0,19.0,3.72,6.0,113,13,100
18,90.114,124.0,0.0,0.024,138.0,0.0,0.515,4.0,21.0,10.122,9.0,113,13,100
19,86.748,109.0,0.0,0.024,154.0,0.0,0.525,4.0,34.0,19.258,11.0,113,13,100
20,86.748,109.0,0.0,0.024,154.0,0.0,0.525,4.0,34.0,19.258,11.0,113,13,100
21,53.673,56.0,0.0,0.027,208.0,0.0,0.547,4.0,76.0,30.457,13.0,113,13,100
22,28.59,25.0,0.0,0.028,241.0,0.0,0.6,4.0,118.0,37.045,14.0,113,13,100
23,11.579,4.0,0.0,0.029,265.0,0.0,0.592,4.0,138.0,49.758,16.0,114,14,100
24,13.423,3.0,0.0,0.029,267.0,0.0,0.627,4.0,139.0,58.355,17.0,114,14,100
25,9.523,3.0,0.0,0.029,268.0,0.0,0.697,4.0,139.0,58.355,17.0,114,14,100
26,6.43,2.0,0.0,0.03,271.0,0.0,0.574,4.0,140.0,82.661,20.0,114,14,100
27,4.454,1.0,0.0,0.03,272.0,0.0,0.535,4.0,138.0,114.85,23.0,115,15,100
28,1.774,1.0,0.0,0.03,273.0,0.0,0.556,4.0,140.0,138.997,25.0,115,15,100
29,1.774,1.0,0.0,0.03,273.0,0.0,0.556,4.0,140.0,138.997,25.0,115,15,100
30,4.575,1.0,0.0,0.03,275.0,0.0,0.573,4.0,140.0,163.155,27.0,115,15,100
31,4.747,2.0,0.0,0.03,276.0,0.0,0.556,4.0,139.0,210.592,31.0,115,15,100
32,21.566,3.0,0.0,0.03,276.0,0.0,0.07,3.0,133.0,319.108,40.0,115,15,100
33,31.986,7.0,0.0,0.03,276.0,0.0,0.071,4.0,123.0,459.526,51.0,115,15,100
34,47.113,10.0,0.0,0.03,276.0,0.0,0.51,4.0,114.0,579.913,60.0,115,15,100
35,66.754,14.0,0.0,0.03,276.0,0.0,0.095,4.0,104.0,735.702,71.0,115,15,100
36,82.022,18.0,2.0,0.03,276.0,0.0,0.091,4.0,93.0,900.74,82.0,115,15,100
37,94.226,21.0,0.0,0.03,276.0,0.0,0.076,3.0,83.0,1076.299,93.0,115,15,100
38,94.226,21.0,0.0,0.03,276.0,0.0,0.076,3.0,83.0,1076.299,93.0,115,15,100
39,90.698,23.0,0.0,0.03,276.0,0.0,0.085,4.0,73.0,1228.828,102.0,115,15,100
40,90.527,24.0,2.0,0.03,276.0,0.0,0.095,4.0,64.0,1388.537,111.0,115,15,100
41,91.283,24.0,3.0,0.03,277.0,1.0,0.108,4.0,56.0,1538.159,119.0,115,15,100
42,89.076,23.0,4.0,0.03,279.0,1.0,0.111,4.0,47.0,1715.485,128.0,115,15,100
43,89.177,23.0,3.0,0.03,281.0,1.0,0.108,4.0,38.0,1900.495,137.0,115,15,100
44,99.395,22.0,4.0,0.03,283.0,1.0,0.109,4.0,29.0,2090.63,146.0,115,15,100
45,99.95,25.0,0.0,0.03,285.0,1.0,0.521,4.0,21.0,2264.983,154.0,115,15,100
46,96.785,24.0,0.0,0.03,287.0,2.0,0.587,4.0,17.0,2376.547,159.0,115,15,100
47,86.153,21.0,0.0,0.473,291.0,2.0,0.587,4.0,17.0,2376.547,159.0,115,15,100
48,86.153,21.0,0.0,0.473,291.0,2.0,0.595,4.0,14.0,2456.758,163.0,115,15,100
49,85.418,19.0,0.0,2.314,294.0,2.0,0.625,4.0,14.0,2477.193,164.0,115,15,100
50,56.263,14.0,0.0,5.21,302.0,2.0,0.673,4.0,14.0,2519.967,166.0,115,15,100
51,49.31,12.0,0.0,8.231,305.0,2.0,0.76,4.0,12.0,2560.162,168.0,115,15,100
52,34.455,6.0,0.0,9.98,312.0,2.0,0.821,4.0,12.0,2560.162,168.0,115,15,100
53,29.034,7.0,0.0,9.98,313.0,2.0,0.74,4.0,10.0,2601.649,170.0,115,15,100
54,44.059,8.0,0.0,9.98,314.0,2.0,0.734,4.0,10.0,2623.15,171.0,115,15,100
55,25.506,6.0,0.0,9.98,317.0,2.0,0.803,4.0,11.0,2623.15,171.0,115,15,100
56,25.506,6.0,0.0,9.98,317.0,2.0,0.803,4.0,11.0,2623.15,171.0,115,15,100
57,41.933,8.0,0.0,10.198,318.0,2.0,0.803,4.0,16.0,2645.52,172.0,115,15,100
58,47.022,9.0,0.0,10.198,319.0,2.0,0.886,4.0,23.0,2692.239,174.0,115,15,100
59,67.006,14.0,1.0,10.198,319.0,2.0,0.951,4.0,26.0,2692.239,174.0,115,15,100
60,88.774,20.0,11.0,10.198,319.0,2.0,0.918,4.0,28.0,2714.679,175.0,115,15,100
61,88.774,20.0,11.0,10.198,319.0,2.0,1.007,4.0,33.0,2739.637,176.0,115,15,100
62,97.36,22.0,18.0,10.198,319.0,2.0,1.01,4.0,34.0,2764.267,177.0,115,15,100
63,94.669,25.0,49.0,10.198,319.0,2.0,1.07,4.0,34.0,2764.267,177.0,115,15,100
64,97.309,23.0,54.0,12.551,322.0,2.0,1.066,4.0,35.0,2788.998,178.0,115,15,100
65,97.309,23.0,54.0,12.551,322.0,2.0,1.066,4.0,35.0,2788.998,178.0,117,17,100
66,97.874,24.0,60.0,12.551,324.0,2.0,1.189,4.0,33.0,2817.627,180.0,117,17,100
67,91.394,23.0,63.0,13.29,327.0,2.0,1.34,4.0,32.0,2832.953,181.0,117,17,100
68,77.194,19.0,61.0,13.29,333.0,2.0,1.406,4.0,32.0,2832.953,181.0,117,17,100
69,91.837,20.0,59.0,16.601,334.0,2.0,1.47,4.0,35.0,2832.953,181.0,117,17,100
70,94.266,21.0,58.0,16.601,334.0,2.0,1.536,4.0,35.0,2832.953,181.0,117,17,100
71,98.881,21.0,57.0,16.601,335.0,2.0,1.317,4.0,35.0,2853.559,182.0,117,17,100
72,98.881,21.0,57.0,16.601,335.0,2.0,1.189,4.0,34.0,2865.837,183.0,118,18,100
73,99.194,21.0,58.0,16.601,336.0,2.0,1.267,4.0,34.0,2882.037,184.0,118,18,100
74,99.194,21.0,58.0,16.601,336.0,2.0,1.267,4.0,34.0,2882.037,184.0,119,19,100
75,95.989,22.0,57.0,16.601,336.0,2.0,1.294,4.0,33.0,2899.209,185.0,119,19,100
76,93.097,21.0,57.0,23.457,338.0,2.0,1.02,4.0,33.0,2915.012,186.0,119,19,100
77,98.64,21.0,56.0,30.17,339.0,2.0,1.088,4.0,34.0,2915.012,186.0,119,19,100
78,97.995,22.0,55.0,30.17,339.0,2.0,1.154,4.0,34.0,2915.012,186.0,120,20,100
79,98.73,22.0,55.0,36.935,340.0,2.0,1.5,4.0,33.0,2932.377,187.0,120,20,100
80,92.008,22.0,55.0,36.935,340.0,2.0,1.565,4.0,33.0,2932.377,187.0,120,20,100
81,94.649,21.0,55.0,43.791,342.0,2.0,1.589,4.0,32.0,2953.903,188.0,120,20,100
82,92.492,20.0,54.0,43.792,344.0,2.0,1.643,4.0,31.0,2973.168,189.0,121,21,100
83,92.492,20.0,54.0,43.792,344.0,2.0,1.643,4.0,31.0,2973.168,189.0,122,22,100
84,98.267,21.0,53.0,43.792,344.0,2.0,1.586,4.0,30.0,2997.903,190.0,122,22,100
85,95.183,22.0,53.0,43.89,345.0,2.0,1.294,4.0,29.0,3021.699,191.0,122,22,100
86,98.519,22.0,53.0,50.984,346.0,2.0,1.36,4.0,29.0,3021.699,191.0,123,23,100
87,97.894,22.0,53.0,57.242,347.0,2.0,1.639,4.0,29.0,3048.045,192.0,123,23,100
88,87.625,21.0,53.0,57.242,348.0,2.0,1.237,4.0,28.0,3063.941,193.0,124,24,100
89,97.894,21.0,53.0,65.077,349.0,2.0,1.303,4.0,28.0,3063.941,193.0,124,24,100
90,95.878,22.0,51.0,69.702,350.0,2.0,1.369,4.0,28.0,3063.941,193.0,124,24,100
91,86.536,21.0,50.0,84.711,352.0,2.0,1.435,4.0,28.0,3063.941,193.0,124,24,100
92,86.536,21.0,50.0,84.711,352.0,2.0,1.435,4.0,28.0,3063.941,193.0,125,25,100
