t_s,orch_kv_pct,orch_running,orch_waiting,orch_queue_time_cum_s,orch_requests_done_cum,orch_preemptions_cum,worker_kv_pct,worker_running,worker_waiting,worker_queue_time_cum_s,worker_requests_done_cum,client_arrivals_cum,client_completions_cum,client_in_flight
0,6.349,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,18.916,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,14.985,22.0,0.0,0.003,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,23.39,53.0,0.0,0.004,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,27.22,55.0,0.0,0.004,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5,33.599,69.0,0.0,0.005,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6,32.964,57.0,0.0,0.058,64.0,0.0,0.501,4.0,8.0,0.0,0.0,0,0,0
7,34.617,57.0,0.0,0.058,66.0,0.0,0.522,4.0,7.0,0.0,2.0,0,0,0
8,34.617,57.0,0.0,0.058,66.0,0.0,0.522,4.0,7.0,0.0,2.0,0,0,0
9,38.224,57.0,0.0,0.058,68.0,0.0,0.554,4.0,9.0,0.0,3.0,0,0,0
10,38.648,47.0,0.0,0.058,79.0,0.0,0.61,4.0,16.0,2.19,4.0,0,0,0
11,17.757,16.0,0.0,0.061,110.0,0.0,0.591,4.0,47.0,4.636,6.0,0,0,0
12,0.0,0.0,0.0,0.062,127.0,0.0,0.629,4.0,63.0,8.763,7.0,0,0,0
13,0.0,0.0,0.0,0.062,127.0,0.0,0.694,4.0,65.0,8.763,7.0,0,0,0
14,0.0,0.0,0.0,0.062,127.0,0.0,0.705,4.0,65.0,12.724,8.0,0,0,0
15,0.0,0.0,0.0,0.062,127.0,0.0,0.694,4.0,65.0,15.705,9.0,0,0,0
16,1.663,1.0,0.0,0.062,127.0,0.0,0.702,4.0,64.0,38.869,12.0,0,0,0
17,1.663,1.0,0.0,0.062,127.0,0.0,0.702,4.0,64.0,38.869,12.0,0,0,0
18,0.0,0.0,0.0,0.062,129.0,0.0,0.735,4.0,63.0,46.637,13.0,0,0,0
19,0.0,0.0,0.0,0.062,130.0,0.0,0.781,4.0,61.0,72.384,16.0,0,0,0
20,0.0,0.0,1.0,0.062,131.0,0.0,0.797,4.0,58.0,109.959,20.0,0,0,0
21,28.167,6.0,0.0,0.062,131.0,0.0,0.838,4.0,51.0,182.317,27.0,0,0,0
22,46.438,8.0,0.0,0.062,131.0,0.0,0.868,4.0,48.0,226.98,31.0,0,0,0
23,55.8,12.0,0.0,0.062,131.0,0.0,0.919,4.0,46.0,251.058,33.0,0,0,0
24,69.666,16.0,0.0,0.062,131.0,0.0,0.931,4.0,43.0,301.844,37.0,0,0,0
25,85.629,18.0,0.0,0.062,131.0,0.0,0.962,4.0,38.0,371.549,42.0,0,0,0
26,85.629,18.0,0.0,0.062,131.0,0.0,0.962,4.0,38.0,371.549,42.0,0,0,0
27,91.646,22.0,0.0,0.062,131.0,0.0,0.989,4.0,34.0,431.253,46.0,0,0,0
28,90.537,23.0,5.0,0.062,131.0,0.0,0.723,4.0,29.0,511.096,52.0,0,0,0
29,97.995,23.0,6.0,0.062,133.0,0.0,0.732,4.0,23.0,612.204,58.0,0,0,0
30,97.652,23.0,11.0,0.062,134.0,0.0,0.115,4.0,17.0,723.859,65.0,0,0,0
31,89.892,22.0,14.0,0.062,137.0,0.0,0.52,4.0,11.0,869.9,73.0,0,0,0
32,98.68,22.0,15.0,0.062,140.0,0.0,0.6,4.0,10.0,907.284,75.0,0,0,0
33,98.257,24.0,16.0,0.062,141.0,0.0,0.699,4.0,10.0,942.228,77.0,0,0,0
34,97.148,21.0,19.0,7.821,146.0,0.0,0.701,4.0,15.0,975.155,79.0,0,0,0
35,97.148,21.0,19.0,7.821,146.0,0.0,0.701,4.0,15.0,975.155,79.0,0,0,0
36,89.983,22.0,23.0,7.821,146.0,0.0,0.764,4.0,15.0,975.155,79.0,0,0,0
37,94.095,23.0,23.0,11.686,148.0,0.0,0.749,4.0,14.0,1006.481,81.0,0,0,0
38,94.578,23.0,20.0,18.161,151.0,0.0,0.815,4.0,16.0,1006.481,81.0,0,0,0
39,91.434,23.0,17.0,24.356,155.0,0.0,1.08,4.0,18.0,1040.995,84.0,0,0,0
40,99.335,23.0,16.0,29.393,156.0,0.0,1.141,4.0,17.0,1052.949,85.0,0,0,0
41,91.404,23.0,17.0,29.393,156.0,1.0,1.212,4.0,17.0,1052.949,85.0,0,0,0
42,97.118,22.0,16.0,38.514,158.0,1.0,1.278,4.0,17.0,1052.949,85.0,0,0,0
43,98.73,25.0,13.0,38.514,158.0,1.0,1.346,4.0,17.0,1052.949,85.0,0,0,0
44,98.73,25.0,13.0,38.514,158.0,1.0,1.346,4.0,17.0,1052.949,85.0,0,0,0
45,89.64,22.0,14.0,59.558,161.0,1.0,1.314,4.0,18.0,1061.011,86.0,0,0,0
46,96.513,22.0,13.0,65.62,162.0,1.0,1.38,4.0,18.0,1061.011,86.0,0,0,0
47,89.58,22.0,12.0,65.62,163.0,1.0,1.452,4.0,18.0,1061.011,86.0,0,0,0
48,98.811,21.0,11.0,71.999,165.0,1.0,1.915,4.0,16.0,1079.824,88.0,0,0,0
49,96.695,21.0,11.0,79.111,167.0,1.0,1.981,4.0,17.0,1079.824,88.0,0,0,0
50,96.695,21.0,11.0,79.111,167.0,1.0,1.96,4.0,16.0,1088.209,89.0,0,0,0
51,98.216,22.0,10.0,79.111,167.0,1.0,2.021,4.0,16.0,1088.209,89.0,0,0,0
52,90.094,22.0,11.0,79.111,168.0,1.0,1.773,4.0,15.0,1095.219,90.0,0,0,0
53,90.094,22.0,11.0,79.111,168.0,1.0,1.773,4.0,15.0,1095.219,90.0,0,0,0
54,95.626,21.0,9.0,98.16,171.0,1.0,1.355,4.0,16.0,1108.527,91.0,0,0,0
55,83.765,22.0,7.0,109.781,173.0,1.0,1.427,4.0,17.0,1108.527,91.0,0,0,0
56,99.295,26.0,3.0,109.781,173.0,1.0,0.952,4.0,15.0,1155.628,94.0,0,0,0
57,99.728,28.0,1.0,109.781,173.0,1.0,1.616,4.0,13.0,1195.296,96.0,0,0,0
58,84.057,28.0,0.0,159.013,179.0,1.0,1.684,4.0,13.0,1195.296,96.0,0,0,0
59,79.774,25.0,0.0,180.441,182.0,1.0,1.75,4.0,14.0,1195.296,96.0,0,0,0
60,87.786,25.0,0.0,184.317,183.0,1.0,1.814,4.0,14.0,1195.296,96.0,0,0,0
61,74.151,26.0,0.0,209.92,188.0,1.0,1.88,4.0,18.0,1195.296,96.0,0,0,0
62,74.151,26.0,0.0,209.92,188.0,1.0,1.88,4.0,18.0,1195.296,96.0,0,0,0
63,62.128,23.0,0.0,236.443,193.0,1.0,1.948,4.0,22.0,1195.296,96.0,0,0,0
64,54.379,21.0,0.0,259.645,195.0,1.0,1.472,4.0,22.0,1234.866,98.0,0,0,0
