t_s,orch_kv_pct,orch_running,orch_waiting,orch_queue_time_cum_s,orch_requests_done_cum,orch_preemptions_cum,worker_kv_pct,worker_running,worker_waiting,worker_queue_time_cum_s,worker_requests_done_cum,client_arrivals_cum,client_completions_cum,client_in_flight
0,5.805,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,18.795,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,21.909,41.0,0.0,0.005,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,23.511,53.0,0.0,0.008,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,27.895,55.0,0.0,0.008,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5,33.669,68.0,0.0,0.009,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6,33.115,57.0,0.0,0.01,64.0,0.0,0.478,4.0,8.0,0.0,0.0,0,0,0
7,39.716,58.0,0.0,0.01,65.0,0.0,0.51,4.0,7.0,0.0,2.0,0,0,0
8,39.716,58.0,0.0,0.01,65.0,0.0,0.51,4.0,7.0,0.0,2.0,0,0,0
9,37.64,56.0,0.0,0.01,68.0,0.0,0.547,4.0,8.0,0.0,3.0,0,0,0
10,39.867,52.0,0.0,0.01,75.0,0.0,0.554,4.0,13.0,0.741,5.0,0,0,0
11,18.351,18.0,0.0,0.012,109.0,0.0,0.603,4.0,47.0,3.231,6.0,0,0,0
12,4.434,1.0,0.0,0.013,126.0,0.0,0.542,4.0,63.0,9.687,9.0,0,0,0
13,0.0,0.0,0.0,0.013,127.0,0.0,0.611,4.0,65.0,9.687,9.0,0,0,0
14,0.0,0.0,0.0,0.013,127.0,0.0,0.616,4.0,65.0,19.336,11.0,0,0,0
15,0.0,0.0,0.0,0.013,127.0,0.0,0.653,4.0,64.0,24.727,12.0,0,0,0
16,0.0,0.0,0.0,0.013,128.0,0.0,0.718,4.0,63.0,36.829,14.0,0,0,0
17,0.0,0.0,0.0,0.013,128.0,0.0,0.718,4.0,63.0,36.829,14.0,0,0,0
18,4.575,1.0,0.0,0.013,129.0,0.0,0.753,4.0,62.0,51.463,16.0,0,0,0
19,19.389,3.0,0.0,0.013,129.0,0.0,0.629,4.0,58.0,87.049,21.0,0,0,0
20,25.073,6.0,0.0,0.013,129.0,0.0,0.656,4.0,55.0,131.468,26.0,0,0,0
21,36.824,9.0,0.0,0.013,129.0,0.0,0.662,4.0,49.0,199.956,33.0,0,0,0
22,45.309,11.0,0.0,0.013,129.0,0.0,0.685,4.0,42.0,274.288,40.0,0,0,0
23,60.627,15.0,0.0,0.013,129.0,0.0,0.704,4.0,35.0,354.494,47.0,0,0,0
24,91.253,20.0,0.0,0.013,129.0,0.0,0.724,4.0,28.0,441.704,54.0,0,0,0
25,99.153,22.0,4.0,0.013,129.0,0.0,0.744,4.0,21.0,535.813,61.0,0,0,0
26,99.153,22.0,4.0,0.013,129.0,0.0,0.744,4.0,21.0,535.813,61.0,0,0,0
27,91.767,23.0,9.0,0.013,129.0,0.0,0.773,4.0,18.0,593.241,65.0,0,0,0
28,95.526,22.0,11.0,0.013,132.0,0.0,0.787,4.0,15.0,667.48,70.0,0,0,0
29,91.706,23.0,16.0,0.013,132.0,0.0,0.839,4.0,10.0,761.464,76.0,0,0,0
30,91.656,23.0,18.0,0.013,135.0,0.0,0.898,4.0,11.0,777.59,77.0,0,0,0
31,84.259,21.0,19.0,0.421,139.0,0.0,0.906,4.0,13.0,807.587,79.0,0,0,0
32,96.614,21.0,21.0,3.441,141.0,0.0,0.968,4.0,15.0,807.587,79.0,0,0,0
33,89.398,22.0,24.0,3.441,142.0,0.0,0.991,4.0,16.0,834.128,81.0,0,0,0
34,96.503,22.0,21.0,10.375,145.0,0.0,1.057,4.0,18.0,834.128,81.0,0,0,0
35,96.503,22.0,21.0,10.375,145.0,0.0,1.057,4.0,18.0,834.128,81.0,0,0,0
36,95.757,23.0,18.0,16.493,147.0,0.0,1.016,4.0,18.0,847.61,82.0,0,0,0
37,98.771,23.0,16.0,29.037,151.0,0.0,0.983,4.0,20.0,875.175,84.0,0,0,0
38,90.164,20.0,16.0,39.705,155.0,0.0,1.167,4.0,22.0,890.152,85.0,0,0,0
39,95.646,21.0,15.0,39.705,155.0,0.0,1.232,4.0,22.0,890.152,85.0,0,0,0
40,90.134,22.0,14.0,39.705,155.0,0.0,1.296,4.0,22.0,890.152,85.0,0,0,0
41,90.255,22.0,14.0,39.705,155.0,0.0,1.33,4.0,22.0,899.14,86.0,0,0,0
42,97.622,22.0,13.0,44.772,156.0,0.0,1.447,4.0,21.0,908.94,87.0,0,0,0
43,85.912,21.0,13.0,58.924,158.0,1.0,1.513,4.0,21.0,908.94,87.0,0,0,0
44,85.912,21.0,13.0,58.924,158.0,1.0,1.513,4.0,21.0,908.94,87.0,0,0,0
45,99.758,21.0,12.0,65.877,159.0,1.0,1.577,4.0,21.0,908.94,87.0,0,0,0
46,96.795,21.0,12.0,65.877,160.0,1.0,2.076,4.0,20.0,930.592,89.0,0,0,0
47,94.558,22.0,11.0,65.877,160.0,1.0,2.141,4.0,20.0,930.592,89.0,0,0,0
48,96.604,21.0,10.0,77.059,162.0,1.0,2.206,4.0,20.0,930.592,89.0,0,0,0
49,99.587,22.0,9.0,77.059,162.0,1.0,2.209,4.0,19.0,946.316,90.0,0,0,0
50,91.404,22.0,10.0,83.792,163.0,1.0,1.721,4.0,19.0,961.57,91.0,0,0,0
51,98.458,22.0,8.0,90.809,165.0,1.0,1.789,4.0,20.0,961.57,91.0,0,0,0
52,89.378,23.0,5.0,97.962,167.0,1.0,1.855,4.0,20.0,961.57,91.0,0,0,0
