t_s,orch_kv_pct,orch_running,orch_waiting,orch_queue_time_cum_s,orch_requests_done_cum,orch_preemptions_cum,worker_kv_pct,worker_running,worker_waiting,worker_queue_time_cum_s,worker_requests_done_cum,client_arrivals_cum,client_completions_cum,client_in_flight
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
4,4.575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
5,8.888,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
6,32.52,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
7,29.83,77.0,0.0,0.006,23.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
8,23.652,50.0,0.0,0.016,72.0,0.0,0.0,0.0,0.0,0.0,0.0,101,1,100
9,37.902,109.0,0.0,0.017,75.0,0.0,0.0,0.0,0.0,0.0,0.0,109,9,100
10,47.566,122.0,0.0,0.017,78.0,0.0,0.0,0.0,0.0,0.0,0.0,109,9,100
11,49.753,117.0,0.0,0.017,84.0,0.0,0.418,1.0,0.0,0.0,0.0,110,10,100
12,49.753,117.0,0.0,0.017,84.0,0.0,0.418,1.0,0.0,0.0,0.0,110,10,100
13,49.31,110.0,0.0,0.02,105.0,0.0,0.438,1.0,0.0,0.0,0.0,111,11,100
14,61.604,146.0,0.0,0.021,109.0,0.0,0.457,1.0,0.0,0.0,0.0,111,11,100
15,65.373,137.0,0.0,0.021,119.0,0.0,0.53,4.0,1.0,0.0,0.0,112,12,100
16,64.799,124.0,0.0,0.021,133.0,0.0,0.509,4.0,19.0,0.0,2.0,112,12,100
17,72.539,126.0,0.0,0.021,134.0,0.0,0.582,4.0,19.0,0.0,2.0,112,12,100
18,74.191,125.0,0.0,0.021,135.0,0.0,0.59,4.0,19.0,0.549,4.0,112,12,100
19,81.094,124.0,0.0,0.021,137.0,0.0,0.562,4.0,20.0,2.703,6.0,113,13,100
20,91.343,125.0,0.0,0.021,137.0,0.0,0.627,4.0,20.0,2.703,6.0,113,13,100
21,91.343,125.0,0.0,0.021,137.0,0.0,0.627,4.0,20.0,2.703,6.0,113,13,100
22,94.568,120.0,0.0,0.022,142.0,0.0,0.535,4.0,20.0,9.394,9.0,113,13,100
23,81.135,95.0,3.0,0.022,167.0,0.0,0.601,4.0,20.0,9.394,9.0,113,13,100
24,96.04,93.0,2.0,0.022,170.0,0.0,0.556,4.0,20.0,18.466,11.0,113,13,100
25,83.291,81.0,5.0,0.023,185.0,0.0,0.548,4.0,19.0,32.076,13.0,113,13,100
26,87.111,72.0,9.0,0.023,197.0,0.0,0.587,4.0,20.0,40.206,14.0,113,13,100
27,96.876,62.0,6.0,0.023,211.0,0.0,0.61,4.0,19.0,58.551,16.0,113,13,100
28,94.427,51.0,11.0,0.023,224.0,0.0,0.642,4.0,18.0,69.566,17.0,113,13,100
29,94.427,51.0,11.0,0.023,224.0,0.0,0.642,4.0,18.0,69.566,17.0,113,13,100
30,96.876,45.0,7.0,0.024,234.0,0.0,0.701,4.0,18.0,69.566,17.0,113,13,100
31,98.912,39.0,4.0,2.52,243.0,0.0,0.614,4.0,15.0,102.985,20.0,113,13,100
32,99.667,29.0,3.0,2.521,255.0,0.0,0.67,4.0,14.0,117.728,21.0,113,13,100
33,99.678,23.0,2.0,5.187,263.0,0.0,0.707,4.0,12.0,147.145,23.0,113,13,100
34,98.025,23.0,2.0,8.179,265.0,0.0,0.72,4.0,13.0,178.385,25.0,113,13,100
35,99.809,22.0,1.0,12.606,268.0,0.0,0.601,4.0,20.0,184.238,26.0,113,13,100
36,99.778,23.0,17.0,17.636,270.0,0.0,0.627,4.0,20.0,198.967,27.0,113,13,100
37,91.394,21.0,15.0,25.046,274.0,0.0,0.657,4.0,18.0,229.73,29.0,113,13,100
38,98.206,22.0,14.0,26.19,275.0,0.0,0.657,4.0,18.0,229.73,29.0,113,13,100
39,98.206,22.0,14.0,26.19,275.0,0.0,0.718,4.0,18.0,229.73,29.0,113,13,100
40,95.586,23.0,11.0,31.794,277.0,0.0,0.679,4.0,16.0,260.025,31.0,113,13,100
41,99.002,21.0,10.0,39.492,280.0,0.0,0.727,4.0,15.0,275.925,32.0,113,13,100
42,98.72,22.0,8.0,41.84,281.0,0.0,0.728,4.0,12.0,322.932,35.0,113,13,100
43,84.36,20.0,6.0,48.432,285.0,0.0,0.82,4.0,10.0,353.565,37.0,113,13,100
44,96.503,20.0,4.0,53.347,287.0,0.0,0.88,4.0,11.0,353.565,37.0,113,13,100
45,88.794,21.0,4.0,53.347,288.0,0.0,0.853,4.0,10.0,362.554,38.0,113,13,100
46,98.448,22.0,7.0,60.256,291.0,0.0,0.873,4.0,14.0,371.29,39.0,114,14,100
47,99.194,23.0,6.0,69.164,292.0,0.0,0.789,4.0,20.0,386.97,40.0,114,14,100
48,99.194,23.0,6.0,69.164,292.0,0.0,0.789,4.0,20.0,386.97,40.0,114,14,100
49,93.359,20.0,6.0,85.667,296.0,0.0,0.942,4.0,26.0,409.414,42.0,114,14,100
50,86.184,21.0,16.0,89.627,298.0,0.0,1.004,4.0,29.0,409.414,42.0,114,14,100
51,96.866,22.0,16.0,91.636,300.0,0.0,1.179,4.0,33.0,422.518,43.0,114,14,100
52,93.137,23.0,52.0,102.745,302.0,0.0,1.191,4.0,34.0,436.107,44.0,115,15,100
53,99.859,22.0,53.0,107.444,305.0,0.0,1.056,4.0,32.0,463.879,46.0,115,15,100
54,87.524,21.0,60.0,114.499,308.0,0.0,1.118,4.0,32.0,463.879,46.0,115,15,100
55,95.435,23.0,61.0,117.14,309.0,0.0,1.18,4.0,32.0,463.879,46.0,115,15,100
56,94.488,20.0,64.0,134.933,313.0,0.0,1.18,4.0,32.0,463.879,46.0,116,16,100
57,94.488,20.0,64.0,134.933,313.0,0.0,1.043,4.0,32.0,498.876,48.0,116,16,100
58,99.849,23.0,64.0,137.89,314.0,0.0,1.109,4.0,32.0,498.876,48.0,116,16,100
59,94.215,23.0,64.0,137.89,314.0,0.0,1.164,4.0,32.0,519.335,49.0,116,16,100
60,98.67,21.0,64.0,148.575,317.0,0.0,1.155,4.0,32.0,536.171,50.0,116,16,100
61,98.67,21.0,64.0,148.575,317.0,0.0,0.982,4.0,31.0,551.467,51.0,117,17,100
62,96.05,22.0,63.0,153.092,318.0,0.0,1.17,4.0,30.0,564.592,52.0,117,17,100
63,93.883,23.0,63.0,153.092,318.0,0.0,1.276,4.0,29.0,577.062,53.0,117,17,100
64,96.564,20.0,63.0,171.333,322.0,0.0,1.342,4.0,31.0,577.062,53.0,117,17,100
65,92.835,21.0,62.0,171.333,322.0,0.0,1.342,4.0,31.0,577.062,53.0,119,19,100
66,92.835,21.0,62.0,171.333,322.0,0.0,1.035,4.0,29.0,619.244,56.0,119,19,100
67,91.676,20.0,63.0,176.531,324.0,0.0,1.483,4.0,29.0,637.325,57.0,119,19,100
68,99.607,22.0,61.0,176.531,324.0,0.0,1.047,3.0,29.0,655.069,58.0,119,19,100
69,91.192,22.0,62.0,176.531,324.0,0.0,1.262,4.0,28.0,655.069,58.0,119,19,100
70,100.0,21.0,61.0,183.069,326.0,0.0,1.521,4.0,28.0,672.019,59.0,120,21,99
71,94.86,21.0,62.0,183.069,326.0,1.0,1.243,4.0,26.0,710.625,61.0,122,22,100
72,87.272,21.0,64.0,183.069,326.0,1.0,1.309,4.0,26.0,710.625,61.0,122,22,100
73,95.122,20.0,63.0,198.497,328.0,1.0,1.375,4.0,27.0,710.625,61.0,122,22,100
74,95.122,20.0,63.0,198.497,328.0,1.0,1.375,4.0,27.0,710.625,61.0,122,22,100
75,92.139,20.0,62.0,201.541,329.0,1.0,1.03,4.0,24.0,775.116,64.0,123,23,100
76,87.615,21.0,64.0,201.541,329.0,1.0,1.096,4.0,24.0,775.116,64.0,124,24,100
77,98.105,21.0,64.0,212.883,330.0,1.0,0.932,4.0,22.0,824.887,66.0,124,24,100
78,92.029,22.0,64.0,212.883,330.0,1.0,0.854,3.0,22.0,877.287,68.0,124,24,100
79,97.41,22.0,64.0,219.358,331.0,1.0,1.014,4.0,21.0,877.287,68.0,124,24,100
80,94.145,21.0,63.0,232.806,333.0,1.0,0.924,4.0,20.0,933.165,70.0,125,25,100
81,98.488,21.0,64.0,239.041,334.0,1.0,0.91,4.0,19.0,962.847,71.0,126,26,100
82,91.998,22.0,64.0,239.041,334.0,1.0,0.873,4.0,18.0,991.508,72.0,127,27,100
83,99.012,21.0,64.0,254.34,336.0,1.0,0.873,4.0,18.0,991.508,72.0,127,27,100
84,99.012,21.0,64.0,254.34,336.0,1.0,0.927,4.0,18.0,1022.222,73.0,127,27,100
85,98.64,22.0,63.0,254.34,336.0,1.0,0.925,4.0,18.0,1053.15,74.0,128,28,100
86,92.291,22.0,65.0,254.34,336.0,1.0,1.012,4.0,17.0,1085.224,75.0,128,28,100
87,91.505,22.0,64.0,258.955,337.0,1.0,1.081,4.0,17.0,1085.224,75.0,128,28,100
88,94.588,23.0,61.0,282.466,339.0,1.0,1.151,4.0,18.0,1085.224,75.0,128,28,100
89,89.943,22.0,60.0,315.605,341.0,1.0,1.158,4.0,18.0,1119.291,76.0,128,28,100
90,96.967,22.0,59.0,344.597,342.0,1.0,1.763,4.0,17.0,1153.587,77.0,129,29,100
91,97.783,22.0,59.0,367.898,343.0,1.0,4.76,4.0,17.0,1190.978,78.0,130,30,100
92,96.826,24.0,58.0,367.898,343.0,1.0,4.76,4.0,17.0,1190.978,78.0,130,30,100
93,96.826,24.0,58.0,367.898,343.0,1.0,6.793,4.0,17.0,1190.978,78.0,130,30,100
