t_s,orch_kv_pct,orch_running,orch_waiting,orch_queue_time_cum_s,orch_requests_done_cum,orch_preemptions_cum,worker_kv_pct,worker_running,worker_waiting,worker_queue_time_cum_s,worker_requests_done_cum,client_arrivals_cum,client_completions_cum,client_in_flight
0,10.501,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,13.837,19.0,0.0,0.003,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,16.003,20.0,0.0,0.003,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,15.53,27.0,0.0,0.004,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,14.431,21.0,0.0,0.004,28.0,0.0,0.501,4.0,2.0,0.0,0.0,0,0,0
5,16.719,21.0,0.0,0.004,28.0,0.0,0.542,4.0,2.0,0.0,1.0,0,0,0
6,14.35,14.0,0.0,0.004,36.0,0.0,0.568,4.0,8.0,1.526,3.0,0,0,0
7,5.24,2.0,0.0,0.005,47.0,0.0,0.588,4.0,18.0,3.664,6.0,0,0,0
8,5.24,2.0,0.0,0.005,47.0,0.0,0.588,4.0,18.0,3.664,6.0,0,0,0
9,12.678,2.0,0.0,0.005,48.0,0.0,0.535,4.0,16.0,13.726,13.0,0,0,0
10,17.051,4.0,0.0,0.005,48.0,0.0,0.559,4.0,11.0,27.732,19.0,0,0,0
11,44.362,10.0,0.0,0.005,48.0,0.0,0.662,4.0,7.0,39.005,23.0,0,0,0
12,54.469,13.0,0.0,0.005,48.0,0.0,0.682,4.0,4.0,52.435,27.0,0,0,0
13,64.013,16.0,0.0,0.005,49.0,0.0,0.716,4.0,3.0,63.174,30.0,0,0,0
14,86.375,20.0,0.0,0.005,49.0,0.0,0.78,4.0,3.0,69.14,32.0,0,0,0
15,70.039,18.0,0.0,0.005,51.0,0.0,0.846,4.0,3.0,69.14,32.0,0,0,0
16,59.811,16.0,0.0,0.005,56.0,0.0,0.76,4.0,3.0,76.55,34.0,0,0,0
17,59.811,16.0,0.0,0.005,56.0,0.0,0.76,4.0,3.0,76.55,34.0,0,0,0
18,60.707,15.0,0.0,0.005,58.0,0.0,0.912,4.0,4.0,81.829,36.0,0,0,0
19,55.024,14.0,0.0,0.005,60.0,0.0,1.025,4.0,3.0,84.644,37.0,0,0,0
20,40.189,10.0,0.0,0.005,64.0,0.0,1.132,4.0,6.0,87.009,38.0,0,0,0
21,44.886,9.0,0.0,0.005,67.0,0.0,1.056,4.0,6.0,91.064,40.0,0,0,0
22,44.886,9.0,0.0,0.005,67.0,0.0,1.131,4.0,5.0,92.13,41.0,0,0,0
23,25.295,7.0,0.0,0.005,70.0,0.0,0.793,4.0,6.0,96.788,43.0,0,0,0
24,33.851,7.0,0.0,0.005,72.0,0.0,1.172,4.0,8.0,99.953,44.0,0,0,0
25,11.64,6.0,0.0,0.005,78.0,0.0,1.232,4.0,10.0,99.953,44.0,0,0,0
26,11.64,6.0,0.0,0.005,78.0,0.0,1.232,4.0,10.0,99.953,44.0,0,0,0
27,15.459,7.0,0.0,0.005,79.0,0.0,1.211,4.0,10.0,102.189,45.0,0,0,0
28,11.267,6.0,0.0,0.005,82.0,0.0,1.277,4.0,11.0,102.189,45.0,0,0,0
29,6.853,4.0,0.0,0.005,86.0,0.0,1.348,4.0,14.0,102.189,45.0,0,0,0
30,5.654,3.0,0.0,0.005,87.0,0.0,1.038,4.0,16.0,106.514,46.0,0,0,0
31,4.565,1.0,0.0,0.005,90.0,0.0,0.957,4.0,16.0,109.843,47.0,0,0,0
32,4.585,1.0,0.0,0.005,90.0,0.0,1.029,4.0,18.0,109.843,47.0,0,0,0
33,8.999,2.0,0.0,0.006,92.0,0.0,1.451,4.0,18.0,117.559,48.0,0,0,0
34,9.826,4.0,0.0,0.006,94.0,0.0,1.307,4.0,17.0,121.318,49.0,0,0,0
35,9.826,4.0,0.0,0.006,94.0,0.0,1.307,4.0,17.0,121.318,49.0,0,0,0
36,5.533,3.0,0.0,0.006,96.0,0.0,1.31,4.0,18.0,130.928,50.0,0,0,0
37,10.45,4.0,0.0,0.006,96.0,0.0,1.324,4.0,17.0,141.693,51.0,0,0,0
38,6.198,4.0,0.0,0.006,98.0,0.0,1.395,4.0,18.0,141.693,51.0,0,0,0
39,4.938,2.0,0.0,0.006,100.0,0.0,1.463,4.0,20.0,141.693,51.0,0,0,0
40,9.634,3.0,0.0,0.006,100.0,0.0,1.184,4.0,19.0,153.95,52.0,0,0,0
41,4.575,1.0,0.0,0.006,103.0,0.0,0.949,4.0,19.0,172.046,54.0,0,0,0
42,5.029,3.0,0.0,0.006,107.0,0.0,1.063,4.0,18.0,181.192,55.0,0,0,0
43,6.621,6.0,0.0,0.006,108.0,0.0,0.565,4.0,15.0,226.949,58.0,0,0,0
44,6.621,6.0,0.0,0.006,108.0,0.0,0.565,4.0,15.0,226.949,58.0,0,0,0
