t_s,orch_kv_pct,orch_running,orch_waiting,orch_queue_time_cum_s,orch_requests_done_cum,orch_preemptions_cum,worker_kv_pct,worker_running,worker_waiting,worker_queue_time_cum_s,worker_requests_done_cum,client_arrivals_cum,client_completions_cum,client_in_flight
0,16.981,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,19.782,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,14.33,18.0,0.0,0.007,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,25.778,56.0,0.0,0.008,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,30.051,55.0,0.0,0.008,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5,34.949,69.0,0.0,0.01,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6,34.677,57.0,0.0,0.01,64.0,0.0,0.499,4.0,8.0,0.0,0.0,0,0,0
7,40.965,59.0,0.0,0.011,65.0,0.0,0.527,4.0,7.0,0.0,2.0,0,0,0
8,42.91,59.0,0.0,0.011,68.0,0.0,0.516,4.0,8.0,0.0,4.0,0,0,0
9,42.91,59.0,0.0,0.011,68.0,0.0,0.516,4.0,8.0,0.0,4.0,0,0,0
10,40.562,51.0,0.0,0.011,76.0,0.0,0.545,4.0,8.0,3.961,6.0,0,0,0
11,49.461,31.0,0.0,0.012,98.0,0.0,0.51,4.0,6.0,6.848,8.0,0,0,0
12,62.501,30.0,2.0,0.012,101.0,0.0,0.565,4.0,8.0,10.434,9.0,0,0,0
13,71.632,31.0,1.0,0.012,101.0,0.0,0.604,4.0,8.0,14.479,10.0,0,0,0
14,71.632,31.0,1.0,0.012,101.0,0.0,0.639,4.0,8.0,19.143,11.0,0,0,0
15,76.832,32.0,4.0,0.012,102.0,0.0,0.565,4.0,7.0,32.155,14.0,0,0,0
16,85.307,33.0,7.0,0.012,103.0,0.0,0.606,4.0,7.0,37.973,15.0,0,0,0
17,92.754,32.0,12.0,0.012,105.0,0.0,0.682,4.0,6.0,55.283,18.0,0,0,0
18,92.754,32.0,12.0,0.012,105.0,0.0,0.682,4.0,6.0,55.283,18.0,0,0,0
19,92.754,32.0,12.0,0.012,105.0,0.0,0.738,4.0,7.0,66.798,20.0,0,0,0
20,59.236,21.0,28.0,0.013,116.0,0.0,0.801,4.0,7.0,66.798,20.0,0,0,0
21,89.096,20.0,27.0,0.013,118.0,0.0,0.795,4.0,7.0,75.557,22.0,0,0,0
22,92.341,21.0,26.0,0.013,119.0,0.0,0.857,4.0,7.0,75.557,22.0,0,0,0
23,90.457,22.0,30.0,0.013,119.0,0.0,0.806,4.0,7.0,85.408,24.0,0,0,0
24,73.415,19.0,38.0,0.013,122.0,0.0,0.896,4.0,7.0,91.121,25.0,0,0,0
25,98.871,18.0,37.0,0.013,124.0,0.0,0.896,4.0,6.0,96.611,26.0,0,0,0
26,79.301,17.0,40.0,0.014,126.0,0.0,0.896,4.0,6.0,96.611,26.0,0,0,0
27,79.301,17.0,40.0,0.014,126.0,0.0,0.957,4.0,6.0,96.611,26.0,0,0,0
28,96.392,16.0,39.0,0.014,128.0,0.0,0.904,4.0,4.0,108.94,28.0,0,0,0
29,80.58,17.0,43.0,7.346,129.0,0.0,0.888,4.0,4.0,116.115,29.0,0,0,0
30,97.37,16.0,42.0,10.478,131.0,0.0,0.95,4.0,6.0,116.115,29.0,0,0,0
31,88.723,17.0,41.0,10.478,131.0,0.0,1.04,4.0,6.0,123.202,30.0,0,0,0
32,97.763,17.0,40.0,17.795,132.0,0.0,0.821,4.0,7.0,135.801,32.0,0,0,0
33,97.42,17.0,39.0,37.867,134.0,0.0,0.871,4.0,7.0,142.361,33.0,0,0,0
34,80.339,18.0,37.0,43.643,135.0,0.0,1.109,4.0,7.0,149.724,34.0,0,0,0
35,97.168,18.0,36.0,54.48,136.0,0.0,1.751,4.0,7.0,157.943,35.0,0,0,0
36,97.168,18.0,36.0,54.48,136.0,0.0,1.751,4.0,7.0,157.943,35.0,0,0,0
37,97.733,16.0,36.0,108.479,140.0,0.0,1.816,4.0,9.0,157.943,35.0,0,0,0
38,97.733,16.0,36.0,108.479,140.0,0.0,1.767,4.0,8.0,162.019,36.0,0,0,0
39,92.674,14.0,36.0,123.525,143.0,0.0,1.186,4.0,8.0,167.554,37.0,0,0,0
40,95.979,15.0,35.0,123.525,143.0,0.0,1.252,4.0,8.0,167.554,37.0,0,0,0
41,95.979,15.0,35.0,123.525,143.0,0.0,1.316,4.0,8.0,167.554,37.0,0,0,0
42,92.533,17.0,34.0,123.525,143.0,0.0,1.515,4.0,7.0,174.665,38.0,0,0,0
43,97.843,17.0,34.0,137.149,144.0,0.0,1.581,4.0,8.0,174.665,38.0,0,0,0
44,97.077,18.0,33.0,137.149,144.0,0.0,1.646,4.0,8.0,174.665,38.0,0,0,0
45,97.077,18.0,33.0,137.149,144.0,0.0,1.646,4.0,8.0,174.665,38.0,0,0,0
46,99.043,15.0,32.0,191.0,148.0,0.0,1.396,4.0,9.0,179.074,39.0,0,0,0
47,99.043,15.0,32.0,191.0,148.0,0.0,1.459,4.0,9.0,179.074,39.0,0,0,0
48,73.909,15.0,33.0,191.0,148.0,0.0,1.562,4.0,9.0,192.24,40.0,0,0,0
49,98.791,15.0,32.0,191.0,149.0,0.0,1.624,4.0,9.0,192.24,40.0,0,0,0
50,98.791,15.0,32.0,191.0,149.0,0.0,1.55,4.0,8.0,199.58,41.0,0,0,0
51,87.826,16.0,31.0,191.0,149.0,0.0,1.35,4.0,7.0,209.41,42.0,0,0,0
52,74.675,15.0,34.0,213.397,150.0,0.0,1.317,4.0,7.0,223.764,43.0,0,0,0
53,66.643,13.0,34.0,233.295,152.0,0.0,1.386,4.0,8.0,223.764,43.0,0,0,0
54,66.643,13.0,34.0,233.295,152.0,0.0,1.386,4.0,8.0,223.764,43.0,0,0,0
55,61.887,12.0,34.0,234.952,153.0,0.0,1.453,4.0,8.0,223.764,43.0,0,0,0
56,87.272,12.0,33.0,260.968,154.0,0.0,1.513,4.0,6.0,255.154,45.0,0,0,0
57,87.272,12.0,33.0,260.968,154.0,0.0,1.58,4.0,6.0,255.154,45.0,0,0,0
58,90.598,14.0,31.0,260.968,154.0,0.0,1.545,4.0,5.0,271.149,46.0,0,0,0
59,90.598,14.0,31.0,260.968,154.0,0.0,1.613,4.0,5.0,271.149,46.0,0,0,0
60,97.178,15.0,32.0,260.968,154.0,0.0,0.906,4.0,5.0,278.579,47.0,0,0,0
61,80.54,16.0,32.0,260.968,154.0,0.0,0.974,4.0,5.0,278.579,47.0,0,0,0
62,96.946,14.0,31.0,342.818,157.0,0.0,1.21,4.0,3.0,314.489,49.0,0,0,0
63,96.946,14.0,31.0,342.818,157.0,0.0,1.21,4.0,3.0,314.489,49.0,0,0,0
64,96.946,14.0,31.0,342.818,157.0,0.0,1.727,4.0,2.0,331.414,50.0,0,0,0
65,96.946,14.0,31.0,342.818,157.0,0.0,1.798,4.0,2.0,331.414,50.0,0,0,0
66,98.982,16.0,29.0,342.818,157.0,0.0,1.759,4.0,1.0,345.89,51.0,0,0,0
67,98.982,16.0,29.0,342.818,157.0,0.0,1.57,3.0,0.0,375.638,53.0,0,0,0
68,90.598,17.0,31.0,342.818,157.0,0.0,1.089,2.0,0.0,382.76,54.0,0,0,0
69,84.45,17.0,34.0,342.818,157.0,0.0,1.122,2.0,0.0,382.76,55.0,0,0,0
70,97.46,16.0,32.0,367.357,160.0,0.0,1.711,3.0,0.0,382.76,55.0,0,0,0
71,97.46,16.0,32.0,367.357,160.0,0.0,1.446,2.0,0.0,395.786,56.0,0,0,0
72,79.018,16.0,32.0,367.357,160.0,0.0,1.446,2.0,0.0,395.786,56.0,0,0,0
73,79.018,16.0,32.0,367.357,160.0,0.0,1.484,2.0,0.0,395.786,56.0,0,0,0
74,64.547,13.0,33.0,437.324,163.0,0.0,1.756,3.0,0.0,395.786,56.0,0,0,0
75,60.556,12.0,33.0,470.418,164.0,0.0,1.932,4.0,0.0,395.786,56.0,0,0,0
76,86.617,12.0,32.0,491.441,165.0,0.0,2.103,4.0,0.0,395.786,57.0,0,0,0
77,86.617,12.0,32.0,491.441,165.0,0.0,2.168,4.0,0.0,395.786,57.0,0,0,0
78,86.617,12.0,32.0,491.441,165.0,0.0,2.233,4.0,0.0,395.786,57.0,0,0,0
79,72.518,12.0,33.0,491.441,165.0,0.0,2.299,4.0,0.0,395.786,57.0,0,0,0
80,93.339,13.0,32.0,491.441,165.0,0.0,2.365,4.0,0.0,395.786,57.0,0,0,0
81,93.339,13.0,32.0,491.441,165.0,0.0,2.365,4.0,0.0,395.786,57.0,0,0,0
82,93.339,13.0,32.0,491.441,165.0,0.0,2.431,4.0,0.0,395.786,57.0,0,0,0
83,99.557,14.0,31.0,491.441,165.0,0.0,2.498,4.0,0.0,395.786,57.0,0,0,0
84,99.557,14.0,31.0,491.441,165.0,0.0,0.429,1.0,0.0,406.736,60.0,0,0,0
85,91.767,17.0,29.0,538.349,166.0,0.0,0.168,1.0,0.0,406.736,61.0,0,0,0
86,98.246,17.0,28.0,580.308,167.0,0.0,0.305,2.0,0.0,406.736,61.0,0,0,0
87,70.835,13.0,28.0,769.74,171.0,0.0,0.551,3.0,0.0,406.736,61.0,0,0,0
88,56.495,10.0,29.0,891.609,174.0,0.0,0.9,4.0,2.0,406.736,61.0,0,0,0
89,75.773,9.0,28.0,941.659,176.0,0.0,0.939,4.0,2.0,406.736,62.0,0,0,0
90,75.773,9.0,28.0,941.659,176.0,0.0,1.007,4.0,3.0,406.736,62.0,0,0,0
91,75.773,9.0,28.0,941.659,176.0,0.0,1.007,4.0,3.0,406.736,62.0,0,0,0
92,75.773,9.0,28.0,941.659,176.0,0.0,1.076,4.0,4.0,406.736,62.0,0,0,0
93,81.699,11.0,26.0,941.659,176.0,0.0,1.341,4.0,3.0,406.736,63.0,0,0,0
94,81.699,11.0,26.0,941.659,176.0,0.0,1.061,4.0,1.0,406.736,65.0,0,0,0
95,81.699,11.0,26.0,941.659,176.0,0.0,1.046,4.0,0.0,408.42,66.0,0,0,0
96,86.748,15.0,24.0,941.659,176.0,0.0,1.113,4.0,0.0,408.42,66.0,0,0,0
97,86.748,15.0,24.0,941.659,176.0,0.0,0.758,2.0,0.0,416.379,68.0,0,0,0
98,97.813,43.0,0.0,941.659,176.0,0.0,0.572,1.0,0.0,419.591,69.0,0,0,0
99,97.813,43.0,0.0,941.659,176.0,0.0,0.572,1.0,0.0,419.591,69.0,0,0,0
100,97.813,43.0,0.0,941.659,176.0,0.0,0.593,1.0,0.0,419.591,69.0,0,0,0
101,89.499,47.0,0.0,941.659,176.0,0.0,0.616,1.0,0.0,419.591,69.0,0,0,0
102,77.9,41.0,0.0,1209.381,182.0,0.0,1.044,2.0,0.0,419.591,69.0,0,0,0
103,71.773,24.0,0.0,1641.353,201.0,0.0,1.144,3.0,0.0,419.591,69.0,0,0,0
104,70.402,35.0,0.0,1829.463,207.0,0.0,1.815,4.0,0.0,419.591,69.0,0,0,0
105,67.933,42.0,0.0,1918.099,211.0,0.0,1.881,4.0,2.0,419.591,69.0,0,0,0
106,45.702,36.0,0.0,2207.282,219.0,0.0,1.402,4.0,10.0,419.591,70.0,0,0,0
107,51.476,45.0,0.0,2293.249,221.0,0.0,1.467,4.0,11.0,419.591,70.0,0,0,0
