question_id,round,arm,position,status,valid,duration_ms,law_ids,search_workflows,search_node_elapsed_ms,dependency_ready_ms,ready_wait_ms,run_ms,join_wait_ms,overlap_before_join_ms,read_status
l2-085-es-worker,1,ready,2,ok,1,14010.771,2,1,845.853,6.34,0.004,193.835,0.011,193.835,ok
l2-086-it-data-rights,1,ready,2,ok,1,2364.011,0,0,,,,,,,
l2-087-it-breach,1,ready,2,ok,1,3205.777,0,0,,,,,,,
l2-088-it-transfer,1,ready,2,ok,1,2285.479,0,0,,,,,,,
l2-089-it-consumer,1,ready,2,ok,1,1739.974,0,0,,,,,,,
l2-090-it-worker,1,ready,2,ok,1,1960.274,0,0,,,,,,,
l2-091-nl-data-rights,1,ready,2,ok,1,2636.143,0,0,,,,,,,
l2-092-nl-breach,1,ready,2,ok,1,2147.163,0,0,,,,,,,
l2-096-nz-data-rights,1,ready,2,ok,1,11592.03,3,1,1466.761,7.113,0.003,311.982,0.007,311.982,ok
l2-100-nz-worker,1,ready,2,ok,1,10663.24,3,1,1084.688,8.449,0.004,193.153,0.008,193.153,ok
l3-001-jp-transfer,1,ready,2,ok,1,102888.753,2,2,1129.918,10.1,0.004,230.824,0.011,230.824,ok
l3-002-jp-breach,1,ready,2,ok,1,205911.548,4,2,979.839,5.988,0.005,221.668,0.008,221.668,ok
l3-005-jp-worker-ai,1,ready,2,ok,1,41168.701,4,2,1056.766,6.347,0.005,198.277,0.006,198.277,ok
l3-007-us-breach,1,ready,2,ok,1,45639.471,2,2,1405.401,10.774,0.003,260.712,0.01,260.712,ok
l3-008-us-consumer,1,ready,2,ok,1,20322.433,3,2,1121.825,6.639,0.005,299.6,0.009,299.6,ok
l3-010-us-worker-ai,1,ready,2,ok,1,36817.468,2,2,1179.939,14.259,0.005,212.999,0.007,212.999,ok
l3-011-cn-transfer,1,ready,2,ok,1,45981.547,3,2,1000.778,15.796,0.005,222.924,0.01,222.924,ok
l3-013-cn-consumer,1,ready,2,ok,1,37787.608,2,2,1035.589,11.514,0.004,294.535,0.009,294.535,ok
l3-014-cn-platform,1,ready,2,ok,1,52727.26,4,2,801.632,11.887,0.004,243.579,0.01,243.579,ok
l3-015-cn-worker-ai,1,ready,2,ok,1,35048.345,2,2,993.275,6.039,0.004,197.065,0.011,197.065,ok
l3-016-de-transfer,1,ready,2,ok,1,48759.414,2,2,959.296,5.923,0.003,218.559,0.011,218.559,ok
l3-018-de-consumer,1,ready,2,ok,1,29660.977,6,2,1085.471,6.48,0.004,300.628,0.008,300.628,ok
l3-019-de-platform,1,ready,2,ok,1,32299.07,7,2,1050.203,11.028,0.004,194.533,0.009,194.533,ok
l3-020-de-worker-ai,1,ready,2,ok,1,32396.9,2,2,1007.576,11.695,0.001,195.225,0.014,195.225,ok
