index, name, memory.used [MiB], memory.total [MiB]
0, NVIDIA H200 NVL, 141188 MiB, 143771 MiB
1, NVIDIA H200 NVL, 120970 MiB, 143771 MiB
pid, used_gpu_memory [MiB], gpu_uuid
120962, 24720 MiB, GPU-72f19897-60f2-9c0e-137f-67ce05b1e0c1
1727552, 2650 MiB, GPU-72f19897-60f2-9c0e-137f-67ce05b1e0c1
3566253, 91536 MiB, GPU-72f19897-60f2-9c0e-137f-67ce05b1e0c1
3568349, 22254 MiB, GPU-72f19897-60f2-9c0e-137f-67ce05b1e0c1
3566744, 2194 MiB, GPU-31bcf8c8-d9ac-3d9e-fa8b-e5d405f10074
3567218, 40930 MiB, GPU-31bcf8c8-d9ac-3d9e-fa8b-e5d405f10074
1482719, 22880 MiB, GPU-31bcf8c8-d9ac-3d9e-fa8b-e5d405f10074
1500962, 54938 MiB, GPU-31bcf8c8-d9ac-3d9e-fa8b-e5d405f10074
